graph,order,size,batch_size,technique,time,iterations,error
"email-Eu-core-temporal","986","24929","100000","pagerankTeleport (incremental)","0.5645","22","0.0000015236324999999998"
"email-Eu-core-temporal","986","24929","100000","pagerankTeleport (dynamic)","0.5425","22","0.0000015765124999999999"
"email-Eu-core-temporal","986","24929","100000","pagerankLoop (static)","1.3795","56.75","0"
"email-Eu-core-temporal","986","24929","100000","pagerankLoop (incremental)","1.2545","52.25","0.00000531915"
"email-Eu-core-temporal","986","24929","100000","pagerankLoop (dynamic)","1.2035","52.25","0.0000053198750000000005"
"email-Eu-core-temporal","986","24929","100000","pagerankLoopAll (static)","1.445","56.75","0"
"email-Eu-core-temporal","986","24929","100000","pagerankLoopAll (incremental)","1.298","51.75","0.0000053888"
"email-Eu-core-temporal","986","24929","100000","pagerankLoopAll (dynamic)","1.22825","51.75","0.000005393025"
"email-Eu-core-temporal","986","24929","100000","pagerankRemove (static)","0.568","25.75","0"
"email-Eu-core-temporal","986","24929","100000","pagerankRemove (incremental)","0.5309999999999999","24.25","0.0000019074105"
"email-Eu-core-temporal","986","24929","100000","pagerankRemove (dynamic)","0.565","26.25","0.0001373902705"
"CollegeMsg","1898","20269","10","pagerankTeleport (static)","0.72197","41.57","0"
"CollegeMsg","1898","20269","10","pagerankTeleport (incremental)","0.19419999999999998","11.79","0.000004194005099999998"
"CollegeMsg","1898","20269","10","pagerankTeleport (dynamic)","0.18339000000000005","11.72","0.070004109047"
"CollegeMsg","1898","20269","10","pagerankLoop (static)","0.8779399999999997","51.91","0"
"CollegeMsg","1898","20269","10","pagerankLoop (incremental)","0.3395899999999999","23.08","0.000006561297899999997"
"CollegeMsg","1898","20269","10","pagerankLoop (dynamic)","0.31706999999999996","23.03","0.07000651046820004"
"CollegeMsg","1898","20269","10","pagerankLoopAll (static)","0.95914","52.65","0"
"CollegeMsg","1898","20269","10","pagerankLoopAll (incremental)","0.36046","22.65","0.00000669973855"
"CollegeMsg","1898","20269","10","pagerankLoopAll (dynamic)","0.33192000000000005","22.57","0.07000667393571003"
"CollegeMsg","1898","20269","10","pagerankRemove (static)","0.5439599999999999","45.35","0"
"CollegeMsg","1898","20269","10","pagerankRemove (incremental)","0.14577999999999997","12.97","0.000004124230100000001"
"CollegeMsg","1898","20269","10","pagerankRemove (dynamic)","0.14573999999999995","13.1","0.141978636188"
"CollegeMsg","1898","20269","50","pagerankTeleport (static)","0.7228600000000001","41.57","0"
"CollegeMsg","1898","20269","50","pagerankTeleport (incremental)","0.26722999999999997","16.49","0.000005356157"
"CollegeMsg","1898","20269","50","pagerankTeleport (dynamic)","0.25551","16.52","0.000005375830999999999"
"CollegeMsg","1898","20269","50","pagerankLoop (static)","0.8839099999999999","51.91","0"
"CollegeMsg","1898","20269","50","pagerankLoop (incremental)","0.5011200000000001","33.22","0.000007094519"
"CollegeMsg","1898","20269","50","pagerankLoop (dynamic)","0.47202000000000005","33.2","0.000007131173999999996"
"CollegeMsg","1898","20269","50","pagerankLoopAll (static)","0.9651200000000002","52.65","0"
"CollegeMsg","1898","20269","50","pagerankLoopAll (incremental)","0.5304200000000001","32.41","0.000007308187999999996"
"CollegeMsg","1898","20269","50","pagerankLoopAll (dynamic)","0.49303","32.4","0.000007334134999999999"
"CollegeMsg","1898","20269","50","pagerankRemove (static)","0.54667","45.35","0"
"CollegeMsg","1898","20269","50","pagerankRemove (incremental)","0.20931999999999998","19.27","0.000005031029000000001"
"CollegeMsg","1898","20269","50","pagerankRemove (dynamic)","0.2090199999999999","19.97","0.000130660652"
"CollegeMsg","1898","20269","100","pagerankTeleport (static)","0.7232300000000003","41.57","0"
"CollegeMsg","1898","20269","100","pagerankTeleport (incremental)","0.29592999999999997","18.98","0.0000056860918"
"CollegeMsg","1898","20269","100","pagerankTeleport (dynamic)","0.2838200000000001","19.02","0.0000056614313999999976"
"CollegeMsg","1898","20269","100","pagerankLoop (static)","0.8869400000000003","51.91","0"
"CollegeMsg","1898","20269","100","pagerankLoop (incremental)","0.56755","37.19","0.000007167177"
"CollegeMsg","1898","20269","100","pagerankLoop (dynamic)","0.5345499999999999","37.19","0.000007191010999999997"
"CollegeMsg","1898","20269","100","pagerankLoopAll (static)","0.9676700000000001","52.65","0"
"CollegeMsg","1898","20269","100","pagerankLoopAll (incremental)","0.59612","35.94","0.000007563818000000003"
"CollegeMsg","1898","20269","100","pagerankLoopAll (dynamic)","0.5524400000000002","35.94","0.000007579433999999998"
"CollegeMsg","1898","20269","100","pagerankRemove (static)","0.54951","45.35","0"
"CollegeMsg","1898","20269","100","pagerankRemove (incremental)","0.23410999999999993","21.9","0.0000055736010000000005"
"CollegeMsg","1898","20269","100","pagerankRemove (dynamic)","0.23841000000000004","23.06","0.00021176433400000008"
"CollegeMsg","1898","20269","500","pagerankTeleport (static)","0.71754","41.57","0"
"CollegeMsg","1898","20269","500","pagerankTeleport (incremental)","0.37384000000000006","24.14","0.000006326382210000005"
"CollegeMsg","1898","20269","500","pagerankTeleport (dynamic)","0.35905999999999993","24.16","0.0000063636227"
"CollegeMsg","1898","20269","500","pagerankLoop (static)","0.8757500000000001","51.91","0"
"CollegeMsg","1898","20269","500","pagerankLoop (incremental)","0.6978599999999999","45.04","0.000007461035"
"CollegeMsg","1898","20269","500","pagerankLoop (dynamic)","0.65858","45.05","0.000007469069"
"CollegeMsg","1898","20269","500","pagerankLoopAll (static)","0.9586300000000001","52.65","0"
"CollegeMsg","1898","20269","500","pagerankLoopAll (incremental)","0.7353399999999999","43.84","0.000007858959000000002"
"CollegeMsg","1898","20269","500","pagerankLoopAll (dynamic)","0.6827100000000003","43.84","0.000007869095"
"CollegeMsg","1898","20269","500","pagerankRemove (static)","0.54299","45.35","0"
"CollegeMsg","1898","20269","500","pagerankRemove (incremental)","0.3064100000000001","28.39","0.000006464450799999998"
"CollegeMsg","1898","20269","500","pagerankRemove (dynamic)","0.32585000000000003","30.42","0.0005351692208"
"CollegeMsg","1899","20296","1000","pagerankTeleport (static)","0.7326166666666668","41.65","0"
"CollegeMsg","1899","20296","1000","pagerankTeleport (incremental)","0.45305000000000006","28.166666666666668","0.000006052687333333333"
"CollegeMsg","1899","20296","1000","pagerankTeleport (dynamic)","0.4326166666666666","28.066666666666666","0.000006166988400000001"
"CollegeMsg","1899","20296","1000","pagerankLoop (static)","0.8878833333333336","51.78333333333333","0"
"CollegeMsg","1899","20296","1000","pagerankLoop (incremental)","0.7633666666666667","47.833333333333336","0.0000074414033333333334"
"CollegeMsg","1899","20296","1000","pagerankLoop (dynamic)","0.72","47.833333333333336","0.000007457343333333333"
"CollegeMsg","1899","20296","1000","pagerankLoopAll (static)","0.9717833333333336","52.71666666666667","0"
"CollegeMsg","1899","20296","1000","pagerankLoopAll (incremental)","0.8033333333333331","46.833333333333336","0.000007724499999999999"
"CollegeMsg","1899","20296","1000","pagerankLoopAll (dynamic)","0.7513666666666666","46.833333333333336","0.000007736013333333332"
"CollegeMsg","1899","20296","1000","pagerankRemove (static)","0.5494333333333334","45.3","0"
"CollegeMsg","1899","20296","1000","pagerankRemove (incremental)","0.3654","32.4","0.000006561378333333335"
"CollegeMsg","1899","20296","1000","pagerankRemove (dynamic)","0.3843833333333333","34.483333333333334","0.000719668716666667"
"CollegeMsg","1899","20296","5000","pagerankTeleport (static)","0.7735833333333334","40.75","0"
"CollegeMsg","1899","20296","5000","pagerankTeleport (incremental)","0.608","34.25","0.000005592394166666667"
"CollegeMsg","1899","20296","5000","pagerankTeleport (dynamic)","0.58975","34.166666666666664","0.000005869701666666667"
"CollegeMsg","1899","20296","5000","pagerankLoop (static)","0.9398333333333334","52","0"
"CollegeMsg","1899","20296","5000","pagerankLoop (incremental)","0.9239166666666666","53","0.000007003925000000001"
"CollegeMsg","1899","20296","5000","pagerankLoop (dynamic)","0.8737499999999999","53","0.000007015408333333333"
"CollegeMsg","1899","20296","5000","pagerankLoopAll (static)","1.03175","53.083333333333336","0"
"CollegeMsg","1899","20296","5000","pagerankLoopAll (incremental)","0.9890833333333333","52.583333333333336","0.0000069655666666666664"
"CollegeMsg","1899","20296","5000","pagerankLoopAll (dynamic)","0.9144999999999999","52.583333333333336","0.000006988258333333333"
"CollegeMsg","1899","20296","5000","pagerankRemove (static)","0.5786666666666667","44.25","0"
"CollegeMsg","1899","20296","5000","pagerankRemove (incremental)","0.4695833333333333","38.333333333333336","0.000006542480216666666"
"CollegeMsg","1899","20296","5000","pagerankRemove (dynamic)","0.48633333333333334","39.833333333333336","0.0008722268218833332"
"CollegeMsg","1899","20296","10000","pagerankTeleport (static)","0.8058333333333333","40.333333333333336","0"
"CollegeMsg","1899","20296","10000","pagerankTeleport (incremental)","0.7004999999999999","36.333333333333336","0.00000621905"
"CollegeMsg","1899","20296","10000","pagerankTeleport (dynamic)","0.6691666666666666","35.833333333333336","0.000006753083333333334"
"CollegeMsg","1899","20296","10000","pagerankLoop (static)","1.0018333333333331","52.5","0"
"CollegeMsg","1899","20296","10000","pagerankLoop (incremental)","1.0411666666666666","55","0.0000062433166666666676"
"CollegeMsg","1899","20296","10000","pagerankLoop (dynamic)","0.9955000000000002","55","0.000006264016666666666"
